2372,4151,1
873,1528,1
4042,7074,1
626,1096,1
5187,9077,1
526,921,1
6108,10689,1
469,821,1
6896,12069,1
431,755,1
7593,13288,1
404,708,1
8222,14388,1
384,672,1
8797,15394,1
368,644,1
9328,16324,1
355,621,1
9822,17189,1
344,602,1
10286,18000,1
335,587,1
10721,18763,1
327,573,1
11133,19484,1
321,561,1
11523,20166,1
315,551,1
11894,20815,1
310,542,1
12248,21434,1
305,534,1
12584,22023,1
301,527,1
12907,22587,1
297,521,1
13215,23126,1
294,515,1
13510,23643,1
291,510,1
13793,24139,1
288,505,1
14065,24615,1
286,501,1
14327,25072,1
284,497,1
14578,25512,1
282,493,1
14819,25934,1
280,490,1
15052,26341,1
278,487,1
15275,26732,1
276,484,1
15491,27109,1
275,481,1
15698,27472,1
273,479,1
15897,27821,1
272,476,1
16090,28157,1
271,474,1
16275,28481,1
270,472,1
16453,28793,1
269,470,1
16624,29092,1
267,468,1
16789,29381,1
267,467,1
16947,29658,1
266,465,1
17100,29925,1
265,464,1
17246,30182,1
264,462,1
17387,30428,1
263,461,1
17522,30664,1
263,460,1
17651,30890,1
262,459,1
17775,31107,1
261,458,1
17894,31315,1
261,457,1
18008,31514,1
260,456,1
18116,31703,1
260,455,1
18219,31884,1
259,454,1
18318,32056,1
259,453,1
18411,32220,1
258,452,1
18500,32375,1
258,452,1
18584,32522,1
258,451,1
18663,32661,1
257,451,1
18738,32792,1
257,450,1
18808,32915,1
257,449,1
18874,33030,1
256,449,1
18935,33137,1
256,449,1
18992,33237,1
256,448,1
19045,33329,1
256,448,1
19093,33413,1
255,447,1
19137,33490,1
255,447,1
19176,33559,1
255,447,1
19212,33621,1
255,447,1
19243,33676,1
255,446,1
19270,33723,1
255,446,1
19293,33763,1
255,446,1
19311,33795,1
255,446,1
19326,33821,1
255,446,1
19336,33839,1
255,446,1
19342,33850,1
255,446,1
19344,33853,1
255,446,1
19342,33850,1
255,446,1
19336,33839,1
255,446,1
19326,33821,1
255,446,1
19311,33795,1
255,446,1
19293,33763,1
255,446,1
19270,33723,1
255,446,1
19243,33676,1
255,447,1
19212,33621,1
255,447,1
19176,33559,1
255,447,1
19137,33490,1
255,447,1
19093,33413,1
256,448,1
19045,33329,1
256,448,1
18992,33237,1
256,449,1
18935,33137,1
256,449,1
18874,33030,1
257,449,1
18808,32915,1
257,450,1
18738,32792,1
257,451,1
18663,32661,1
258,451,1
18584,32522,1
258,452,1
18500,32375,1
258,452,1
