line,numSteps,stepTime,dir,end,x,y,z,pitch,roll,yaw,f
79,134,53.6,1,0,490.9087,-43.0425,6.479,0,-180,0,150
80,114,45.6,1,0,517.1289,-26.715,5.9105,0,-180,0,150
81,103,41.2,1,0,531.0555,0,6.7218,0,-180,0,150
82,117,46.8,1,0,517.1059,26.6843,7.2637,0,-180,0,150
83,134,53.6,1,0,490.8885,42.9982,8.0218,0,-180,0,150
84,148,59.2,1,0,461.5238,52.8446,8.6697,0,-180,0,150
85,158,63.2,1,0,431.0066,58.2539,9.1136,0,-180,0,150
86,162,64.8,1,0,400.0555,60,9.2859,0,-180,0,150
87,158,63.2,1,0,369.1044,58.2538,9.1136,0,-180,0,150
88,148,59.2,1,0,338.5872,52.8446,8.6697,0,-180,0,150
89,134,53.6,1,0,309.2225,42.9982,8.0218,0,-180,0,150
90,114,45.6,1,0,283.0051,26.6843,7.2638,0,-180,0,150
91,103,41.2,1,0,269.0555,0,6.7218,0,-180,0,150
92,117,46.8,1,0,283.0051,-26.6843,7.2637,0,-180,0,150
93,134,53.6,1,0,309.2225,-42.9982,8.0218,0,-180,0,150
94,148,59.2,1,0,338.5872,-52.8446,8.6697,0,-180,0,150
95,158,63.2,1,0,369.1044,-58.2539,9.1136,0,-180,0,150
96,162,64.8,1,0,400.0555,-60,9.2859,0,-180,0,150
97,158,63.2,1,0,431.0066,-58.2538,9.1136,0,-180,0,150
98,148,59.2,1,0,461.5238,-52.8446,8.6697,0,-180,0,150
99,134,53.6,1,0,490.8885,-42.9982,8.0218,0,-180,0,150
100,114,45.6,1,0,517.1059,-26.6843,7.2638,0,-180,0,150
101,103,41.2,1,0,531.0694,0,7.9397,0,-180,0,150
102,117,46.8,1,0,517.083,26.6535,8.6168,0,-180,0,150
103,134,53.6,1,0,490.8688,42.9536,9.5645,0,-180,0,150
104,148,59.2,1,0,461.5188,52.8134,10.3745,0,-180,0,150
105,158,63.2,1,0,431.0133,58.2432,10.9295,0,-180,0,150
106,162,64.8,1,0,400.0694,60,11.1449,0,-180,0,150
107,158,63.2,1,0,369.1254,58.2432,10.9295,0,-180,0,150
108,148,59.2,1,0,338.6199,52.8134,10.3745,0,-180,0,150
109,134,53.6,1,0,309.2699,42.9536,9.5645,0,-180,0,150
110,114,45.6,1,0,283.0557,26.6534,8.6169,0,-180,0,150
111,103,41.2,1,0,269.0694,0,7.9397,0,-180,0,150
112,117,46.8,1,0,283.0557,-26.6535,8.6168,0,-180,0,150
113,134,53.6,1,0,309.2699,-42.9536,9.5644,0,-180,0,150
114,148,59.2,1,0,338.6199,-52.8134,10.3744,0,-180,0,150
115,158,63.2,1,0,369.1254,-58.2432,10.9295,0,-180,0,150
116,162,64.8,1,0,400.0693,-60,11.1449,0,-180,0,150
117,158,63.2,1,0,431.0133,-58.2432,10.9295,0,-180,0,150
118,148,59.2,1,0,461.5188,-52.8134,10.3745,0,-180,0,150
119,134,53.6,1,0,490.8688,-42.9536,9.5645,0,-180,0,150
120,114,45.6,1,0,517.083,-26.6535,8.6168,0,-180,0,150
121,103,41.2,1,0,531.0832,0,9.1577,0,-180,0,150
122,117,46.8,1,0,517.0602,26.6226,9.9697,0,-180,0,150
123,134,53.6,1,0,490.8498,42.9087,11.107,0,-180,0,150
124,148,59.2,1,0,461.5147,52.7821,12.0791,0,-180,0,150
125,158,63.2,1,0,431.0206,58.2325,12.7455,0,-180,0,150
126,162,64.8,1,0,400.0832,60,13.0038,0,-180,0,150
